,ZONESTAT,income
0,01,5406.454754601228
1,02,4744.661538461538
2,03,5187.459854014599
3,04,4759.664615384615
4,05,5331.383802816901
5,06,4963.773996509598
6,07,6058.697628458498
7,08,5160.116910229645
8,09,5103.903323262841
9,09bis,4770.38025210084
10,10,5389.665570175438
11,11,4907.12323943662
12,12,4693.604278074867
13,13,4378.666666666666
14,14,6167.113636363635
15,15,8302.514925373134
16,16,5100.275815217392
17,17,6204.240418118467
18,17bis,5227.555803571428
19,18,4963.222416812609
20,19,5343.309143686504
21,20,5488.687793427231
22,21,5558.167605633803
23,22,4973.212290502794
24,23,4425.735632183909
25,24,4360.765079365078
26,25,5458.527093596059
27,26,5308.594138543516
28,27,5260.9101796407185
29,28,5628.723684210527
30,29,6316.713461538461
31,30,5343.756329113924
32,31,5457.14423076923
33,32,4622.472440944882
34,33,5031.325055187639
35,34,6034.775132275132
36,35,4724.7454337899535
37,36,6833.733333333333
38,37,3786.167857142857
39,38,6197.967741935484
40,39,8025.3
41,40,4158.368421052631
42,41,4358.185344827586
43,42,5376.825842696629
44,43,4976.464071856288
45,44,5337.616279069768
46,45,8465.26
47,46,3907.015151515152
48,47,4772.325000000001
49,48,4929.758152173913
50,49,5833.833333333334
51,50,5460.5368098159515
52,51,4085.599137931036
53,52,6719.125
54,53,4776.004385964912
55,54,5426.644578313254
56,55,5472.506976744186
57,56,5205.870689655172
58,57,5097.669042769858
59,58,4706.210365853658
60,59,4521.649446494464
61,60,4690.75806451613
62,61,4255.799694189603
63,62,5116.966135458168
64,63,5956.270588235295
65,64,4382.362204724411
66,65,3536.644736842106
67,66,5399.2808988764045
68,67,4487.924999999999
69,68,7150.825242718446
70,69,3197.8684210526317
71,70,4497.16447368421
72,71,9750.349999999999
73,72,7250.333333333332
74,73,6333.666666666668
75,74,8357.42857142857
76,75,2787.0853658536585
77,76,1750.5
78,77,2235.794117647059
79,78,4994.79775280899
80,79,3139.1445312500005
81,80,2750.5
82,81,3000.5
83,82,4225.5
84,83,6500.333333333335
85,84,4419.854838709678
86,85,6407.777777777778
87,87,3813.0
88,89,3861.927710843373
89,90,5188.257062146892
90,91,2864.5631067961162
91,92,9125.25
